"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/attribute-categories/page.tsx", "TypeScript JSX", 205, 0, 0, 0, 15, 220
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/attributes/[id]/edit/page.tsx", "TypeScript JSX", 119, 0, 0, 0, 12, 131
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/attributes/create/page.tsx", "TypeScript JSX", 96, 0, 0, 0, 10, 106
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/attributes/page.tsx", "TypeScript JSX", 195, 0, 0, 0, 14, 209
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/globals.css", "CSS", 0, 0, 90, 0, 5, 95
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/layout.tsx", "TypeScript JSX", 58, 0, 0, 0, 4, 62
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 1, 9
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/programs/[id]/apply/page.tsx", "TypeScript JSX", 163, 0, 0, 2, 18, 183
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/programs/page.tsx", "TypeScript JSX", 294, 0, 0, 0, 20, 314
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/rulesets/[id]/edit/page.tsx", "TypeScript JSX", 320, 0, 0, 5, 34, 359
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/rulesets/create/page.tsx", "TypeScript JSX", 215, 0, 0, 26, 23, 264
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/app/rulesets/page.tsx", "TypeScript JSX", 138, 0, 0, 0, 11, 149
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/attribute-form.tsx", "TypeScript JSX", 319, 0, 0, 12, 22, 353
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/attribute-importer.tsx", "TypeScript JSX", 161, 0, 0, 0, 10, 171
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/attribute-rule-builder-dialog.tsx", "TypeScript JSX", 197, 0, 0, 0, 15, 212
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/dynamic-ruleset-form.tsx", "TypeScript JSX", 209, 0, 0, 1, 18, 228
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/group-component.tsx", "TypeScript JSX", 203, 0, 0, 1, 21, 225
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/landing-page.tsx", "TypeScript JSX", 44, 0, 0, 0, 3, 47
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/navbar.tsx", "TypeScript JSX", 33, 0, 0, 0, 3, 36
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/program-form.tsx", "TypeScript JSX", 179, 0, 0, 0, 9, 188
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/rule-component.tsx", "TypeScript JSX", 189, 0, 0, 1, 16, 206
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/rules-builder.tsx", "TypeScript JSX", 89, 0, 0, 2, 14, 105
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/sidebar.tsx", "TypeScript JSX", 93, 0, 0, 0, 6, 99
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/types.ts", "TypeScript", 0, 40, 0, 0, 7, 47
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/accordion.tsx", "TypeScript JSX", 50, 0, 0, 0, 8, 58
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 127, 0, 0, 0, 15, 142
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/alert.tsx", "TypeScript JSX", 53, 0, 0, 0, 7, 60
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/aspect-ratio.tsx", "TypeScript JSX", 4, 0, 0, 0, 4, 8
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/avatar.tsx", "TypeScript JSX", 44, 0, 0, 0, 7, 51
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/badge.tsx", "TypeScript JSX", 31, 0, 0, 0, 6, 37
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 105, 0, 0, 0, 11, 116
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/button.tsx", "TypeScript JSX", 52, 0, 0, 0, 6, 58
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/calendar.tsx", "TypeScript JSX", 67, 0, 0, 0, 6, 73
"/Users/harsha/masters-courswork/seng701-capstone/admit-compass-frontend/src/components/ui/card.tsx", "TypeScript JSX", 68, 0, 0, 0, 9, 77
